email,label
Win money now! Click here to claim your prize.,1
Meeting rescheduled to tomorrow at 10 AM.,0
Congratulations! You have been selected for a free gift card.,1
Project update: the latest draft is ready for review.,0
"Lowest prices on meds, no prescription required!",1
Don't forget the team lunch today.,0
URGENT: Your account has been compromised. Act now!,1
Can we move the call to 3 PM instead?,0
You won a $500 Amazon gift card. Claim now!,1
Let’s finalize the report by EOD.,0
"Exclusive deal for you, limited time offer!",1
Your subscription has been renewed successfully.,0
Free vacation to Bahamas! Limited seats.,1
Reminder: Parent-teacher meeting on Friday.,0
"Earn money from home, no experience needed!",1
Invoice for last month’s purchase.,0
Update your billing details to avoid suspension.,1
See you at the gym later today?,0
Get rich quick! Just follow this link!,1
Meeting minutes attached. Let me know if edits needed.,0
Double your income in a week!,1
Here is the code snippet you requested.,0
Free crypto investment guide. Start earning today!,1
Please find attached the contract draft.,0
Cheap luxury watches available now!,1
Can you review the document by noon?,0
"Limited offer: Buy one, get one free!",1
Let’s sync up before the presentation.,0
Zero-interest loan approvals in minutes!,1
Confirmed your appointment for Saturday.,0
Earn rewards by referring your friends.,1
Please join the Zoom link below for the demo.,0
You are pre-approved for a $1000 credit!,1
Final call for feedback on the design.,0
Congratulations! You’ve won a cash prize!,1
Follow-up on today’s interview.,0
Free access to premium tools for 1 week!,1
Need help debugging this issue?,0
Don’t miss this investment opportunity!,1
Attached is the updated schedule.,0
Act now to secure your free trial!,1
Team outing planned for next Friday.,0
Low interest rate loans available!,1
Any updates on the blog content?,0
Cashback up to $500 on every purchase!,1
Happy birthday! Hope you have a great day!,0
You have an unread message. View now!,1
Attached: invoice for April.,0
Limited seats available. Register now!,1
Let's catch up over coffee?,0
Click to get your exclusive coupon!,1
Project deliverables are due next Monday.,0
Upgrade your plan and get 50% off.,1
Can you confirm the address for delivery?,0
Hot singles in your area want to chat!,1
Here’s the budget report.,0
You qualify for a new insurance plan.,1
Join us for a webinar on productivity.,0
Earn up to $1000 working from your phone!,1
Sent you the Google Drive link.,0
Win a free laptop by answering a short survey!,1
Update: class timing changed to 4 PM.,0
Don't miss our flash sale!,1
Please find the agenda attached.,0
Check out the new collection on our site.,1
Good luck for your exam tomorrow!,0
Special promotion: 75% off only today!,1
Can you share the slides from the session?,0
Claim your complimentary hotel stay now.,1
Remember to submit your assignment.,0
Instant cash loan approval!,1
Schedule the appointment at your convenience.,0
You've been selected for an exclusive reward!,1
Here’s the meeting recording.,0
Boost your credit score in 7 days!,1
Let me know if you're joining the event.,0
Last chance to grab this deal!,1
Can you send me the link again?,0
Free entry into our sweepstakes!,1
Catch up call tomorrow morning?,0
Click to unlock your bonus points!,1
Please check the grammar in this draft.,0
Win free groceries for a year!,1
Thanks for attending the session today.,0
"Get approved for a $10,000 loan now!",1
Forwarding you the latest updates.,0
Exclusive access to our new platform!,1
Join the feedback session at 5 PM.,0
100% working weight loss solution!,1
See you at the workshop.,0
Save big on your next order!,1
Can we reschedule our 1-on-1?,0
Time-limited deal just for you!,1
Updated version of the app is live.,0
"Congratulations, you’re a lucky winner!",1
Reminder: team sync at 11 AM.,0
"FREE trial ends today, don’t miss out!",1
Need any help with the assignment?,0
Get up to 90% discount now!,1
Attached: resume and cover letter.,0
Special rewards for new users only!,1
Thanks for the quick response.,0
Click here to claim your bonus gift!,1
Sharing the research paper link.,0
Unlock massive savings today!,1
Have a safe journey!,0
Free access to online courses!,1
Join our newsletter to stay updated.,0
You're eligible for a free upgrade!,1
Let’s finalize the design today.,0
Make $500 daily from your smartphone!,1
Recording from today’s lecture attached.,0
Don't let this chance slip away!,1
Please approve the request when free.,0
Claim your discount voucher instantly!,1
Can we meet to discuss the layout?,0
Start earning from home today!,1
Final reminder: RSVP now!,0
Congratulations! You’ve won a smartphone!,1
Do you have any notes from class?,0
Click now to get premium access!,1
Thanks for your support during the event.,0
Get extra income with zero effort!,1
Here’s the summary from the meeting.,0
Free bonus if you register today!,1
Can you proofread the article?,0
Download our app and get $100 credit!,1
Let me know your availability.,0
You have a new voicemail!,1
Project deadline extended to next week.,0
Free iPhone giveaway – sign up now!,1
Join our survey and win rewards!,0
Ping me once you're online.,1
Fastest way to make money online!,0
Final year project submission deadline.,1
Hot deal ending tonight!,0
Meeting moved to conference room B.,1
Earn up to $500 every day!,0
Check the latest commit on GitHub.,1
You've been gifted a $100 voucher!,0
Thanks for the update!,1
Make money while you sleep!,0
Agenda for next week attached.,1
Congratulations on your selection!,0
Instant rewards with this link!,1
Can we have a quick call?,0
Your loan has been approved!,1
Final edits before submission.,0
Win free fuel for 6 months!,1
All the best for your presentation!,0
